x,y,zx,zy,zxy,ncd
s118.txt,s120.txt,605,603,1196,0.9801652892561984
s118.txt,s121.txt,605,569,1165,0.9851239669421488
s118.txt,s122.txt,605,535,1124,0.9735537190082645
s118.txt,s123.txt,605,531,1125,0.9818181818181818
s118.txt,s124.txt,605,583,1176,0.9801652892561984
s118.txt,s125.txt,605,498,1088,0.9752066115702479
s118.txt,s126.txt,605,547,1135,0.971900826446281
s118.txt,s127.txt,605,536,1130,0.9818181818181818
s118.txt,s128.txt,605,557,1150,0.9801652892561984
s118.txt,s129.txt,605,521,1116,0.9834710743801653
s118.txt,s13.txt,605,589,1185,0.9851239669421488
s118.txt,s130.txt,605,535,1128,0.9801652892561984
s118.txt,s14.txt,605,589,1186,0.9867768595041322
s118.txt,s15.txt,605,593,1189,0.9851239669421488
s118.txt,s16.txt,605,600,1189,0.9735537190082645
s118.txt,s17.txt,605,594,1186,0.9785123966942149
s118.txt,s18.txt,605,598,1192,0.9818181818181818
s118.txt,s19.txt,605,593,1190,0.9867768595041322
s119.txt,s12.txt,600,592,1188,0.9933333333333333
s119.txt,s120.txt,600,603,1185,0.9701492537313433
s119.txt,s121.txt,600,569,1160,0.985
s119.txt,s122.txt,600,535,1120,0.975
s119.txt,s123.txt,600,531,1113,0.97
s119.txt,s124.txt,600,583,1177,0.99
s119.txt,s125.txt,600,498,1087,0.9816666666666667
s119.txt,s126.txt,600,547,1136,0.9816666666666667
s119.txt,s127.txt,600,536,1129,0.9883333333333333
s119.txt,s128.txt,600,557,1148,0.985
s119.txt,s129.txt,600,521,1113,0.9866666666666667
s119.txt,s13.txt,600,589,1187,0.9966666666666667
s119.txt,s130.txt,600,535,1129,0.99
s119.txt,s14.txt,600,589,1180,0.985
s119.txt,s15.txt,600,593,1183,0.9833333333333333
s119.txt,s16.txt,600,600,1186,0.9766666666666667
s119.txt,s17.txt,600,594,1184,0.9833333333333333
s119.txt,s18.txt,600,598,1187,0.9816666666666667
s119.txt,s19.txt,600,593,1184,0.985
s12.txt,s120.txt,592,603,1185,0.9834162520729685
s12.txt,s121.txt,592,569,1155,0.9898648648648649
s12.txt,s122.txt,592,535,1115,0.9797297297297297
s12.txt,s123.txt,592,531,1110,0.9780405405405406
s12.txt,s124.txt,592,583,1161,0.9763513513513513
s12.txt,s125.txt,592,498,1082,0.9864864864864865
s12.txt,s126.txt,592,547,1127,0.9797297297297297
s12.txt,s127.txt,592,536,1118,0.9831081081081081
s12.txt,s128.txt,592,557,1140,0.9847972972972973
s12.txt,s129.txt,592,521,1104,0.9847972972972973
s12.txt,s13.txt,592,589,1171,0.9831081081081081
s12.txt,s130.txt,592,535,1118,0.9847972972972973
s12.txt,s14.txt,592,589,1168,0.9780405405405406
s12.txt,s15.txt,592,593,1165,0.9662731871838112
s12.txt,s16.txt,592,600,1176,0.9733333333333334
s12.txt,s17.txt,592,594,1170,0.9730639730639731
s12.txt,s18.txt,592,598,1170,0.9665551839464883
s12.txt,s19.txt,592,593,1166,0.9679595278246206
s120.txt,s121.txt,603,569,1162,0.9834162520729685
s120.txt,s122.txt,603,535,1127,0.9817578772802653
s120.txt,s123.txt,603,531,1124,0.9834162520729685
s120.txt,s124.txt,603,583,1178,0.9867330016583747
s120.txt,s125.txt,603,498,1088,0.978441127694859
s120.txt,s126.txt,603,547,1129,0.9651741293532339
s120.txt,s127.txt,603,536,1130,0.9850746268656716
s120.txt,s128.txt,603,557,1151,0.9850746268656716
s120.txt,s129.txt,603,521,1111,0.978441127694859
s120.txt,s13.txt,603,589,1187,0.9917081260364843
s120.txt,s130.txt,603,535,1126,0.9800995024875622
s120.txt,s14.txt,603,589,1185,0.988391376451078
s120.txt,s15.txt,603,593,1188,0.9867330016583747
s120.txt,s16.txt,603,600,1193,0.9834162520729685
s120.txt,s17.txt,603,594,1190,0.988391376451078
s120.txt,s18.txt,603,598,1193,0.9867330016583747
s120.txt,s19.txt,603,593,1186,0.9834162520729685
s121.txt,s122.txt,569,535,1089,0.9736379613356766
s121.txt,s123.txt,569,531,1091,0.984182776801406
s121.txt,s124.txt,569,583,1143,0.9845626072041166
s121.txt,s125.txt,569,498,1056,0.9806678383128296
s121.txt,s126.txt,569,547,1109,0.9876977152899824
s121.txt,s127.txt,569,536,1095,0.9824253075571178
s121.txt,s128.txt,569,557,1118,0.9859402460456942
s121.txt,s129.txt,569,521,1081,0.984182776801406
s121.txt,s13.txt,569,589,1155,0.9949066213921901
s121.txt,s130.txt,569,535,1092,0.9789103690685413
s121.txt,s14.txt,569,589,1151,0.9881154499151104
s121.txt,s15.txt,569,593,1151,0.9814502529510961
s121.txt,s16.txt,569,600,1158,0.9816666666666667
s121.txt,s17.txt,569,594,1154,0.9848484848484849
s121.txt,s18.txt,569,598,1163,0.9933110367892977
s121.txt,s19.txt,569,593,1154,0.9865092748735245
s122.txt,s123.txt,535,531,1051,0.9719626168224299
s122.txt,s124.txt,535,583,1104,0.9759862778730704
s122.txt,s125.txt,535,498,1018,0.9719626168224299
s122.txt,s126.txt,535,547,1062,0.9634369287020109
s122.txt,s127.txt,535,536,1056,0.9720149253731343
s122.txt,s128.txt,535,557,1077,0.9730700179533214
s122.txt,s129.txt,535,521,1040,0.9700934579439252
s122.txt,s13.txt,535,589,1114,0.9830220713073005
s122.txt,s130.txt,535,535,1055,0.9719626168224299
s122.txt,s14.txt,535,589,1115,0.9847198641765704
s122.txt,s15.txt,535,593,1119,0.984822934232715
s122.txt,s16.txt,535,600,1121,0.9766666666666667
s122.txt,s17.txt,535,594,1117,0.9797979797979798
s122.txt,s18.txt,535,598,1121,0.979933110367893
s122.txt,s19.txt,535,593,1115,0.9780775716694773
s123.txt,s124.txt,531,583,1100,0.9759862778730704
